4524,hola buenas tardes me llamaoo cinthia,ELEC07,50,1,1.00,1.00,1,1,true
A109,Mouse Logitech,ELEC13,58,4,40.00,20.00,1,1,true
A123,Monitor hp,ELEC03,6,5,5000.00,10000.00,2,2,true
A124,Laptop Hp,ELEC01,35,1,2.00,22.00,1,1,true
A125,TECLADOS,ELEC02,0,1,2.00,4.00,1,1,true
A126,ESTO ES UNA PRUEBA DE UN PRODUCTO QUE SU DESCRIPCIÓN ES MUY GRANDE Y POR LO TANTO HACE QUE LA INTERFAZ SE VEA ENORME,ELEC04,9,1,1.00,1.00,1,1,true
A694,Tablet cronus,ELEC09,21,2,500.00,20000.00,4,7,true
A780,Monitor HP,ELEC04,50,4,500.00,2000.00,4,3,true
B390,aifon 15,ELEC09,24,2,20000.00,4500.00,4,4,false
B455,Monitor portatil,ELEC04,33,5,12000.00,10000.00,8,40,true
C908,Camara,ELEC13,13,5,3000.00,2000.00,6,4,true
E459,Monitor  HP dual,ELEC04,33,4,11000.00,10000.00,4,3,true
